# English-French dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:02+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neuf
by-product	sous-produit
cable	câble
cactus	cactus
cadmium	cadmium
caesium	césium
caffeine	caféine ; théine
calcium	calcium
calcium content	teneur en calcium
calculation	calcul
calculation method	méthode de calcul
calendar	calendrier
caliber	calibre
calibration	étalonnage
californium	californium
calligraphy	calligraphie
camel	chameau
camera	appareil photographique ; appareil photo
camouflage	camouflage
camp ; military camp ; army camp ; campsite	campement ; camp
camping ; camping ground	camping
camping site	camping
canal	canal
canal lock	écluse
cancer	cancer
cancer risk	risque de cancer
candle	bougie ; chandelle
canid	canidé
canyon	gorge
capital	capitale
car ; automobile	automobile ; bagnole ; voiture
car park	parc de stationnement
car tyre	pneu d'automobile
carbohydrate	hydrate de carbone ; glucide
carbon	carbone
carbon dioxide	dioxyde de carbone
carbon dioxide tax	taxe sur le dioxyde de carbone
carbon monoxide	monoxyde de carbone
carbonate	carbonate
carcass disposal	équarrissage
carcinogen	cancérigène
carcinogenicity	cancérigènicité
carcinogenicity test	test de cancérigénicité
cardinal	cardinal
cardiology	cardiologie
cardiovascular disease	maladie cardiovasculaire
cardiovascular system	système cardiovasculaire
career	carrière
carnivore	carnivores ; carnivore
carpet	tapis
carry-over effect	effet de report
cartography	cartographie
case ; lawsuit ; trial	procès
cash crop	culture industrielle
castle	château ; château fort
cat	chat ; minou
catalysis	catalyse
catalyst	catalyseur
catalytic converter	pot catalytique
catapult	catapulte
catastrophe	catastrophe
catch yield	rendement de pêche
catchment	captage
catchment area	bassin versant
category	catégorie
category of endangered species	catégorie d'espèce menacée d'extinction
cation	cation
cattle	bétail
cauliflower	chou-fleur
cause-effect relation	relation de cause à effet
cave	grotte
caviar	caviar
celery	céleri
celibacy	abstinence ; chasteté
cell ; cell	cellule ; cellule
cell ; electrochemical cell ; energy cell ; Galvanic cell ; στοιχείο	cellule
cellulose	cellulose
cellulose industry	industrie de la cellulose
cement	ciment
cement industry	industrie du ciment
cement manufacture	cimenterie
census survey	recensement
central government	administration centrale
central park area	zone centrale de parc
centralisation	centralisation
centrifugation	centrifugation
cephalopod	céphalopode
ceramics	céramique
ceramics industry	industrie de la céramique
cerium	cérium
certification	certification
cetacean	cétacé
chair	chaise
chalk	craie
champagne	champagne
change in value	changement de valeur
channelling	canalisation
chaos theory	théorie du chaos
chapter	chapitre
characteristic	trait ; characteristique
charcoal	charbon de bois
chart	charte
chart ; nautical chart	charte nautique
cheers ; thank you ; thanks	merci
cheese	fromage
cheetah ; chetah	guépard
chelicerate	chélicère
chemical	substance chimique
chemical addition	addition chimique
chemical analysis	analyse chimique
chemical composition	composition chimique
chemical contamination	contamination chimique
chemical corrosivity	corrosivité chimique
chemical decontamination	décontamination chimique
chemical element ; element	élément chimique ; élément
chemical fallout	retombée (substances chimiques)
chemical fertiliser	engrais chimique
chemical in the environment	produits chimiques dans l'environnement
chemical industry	industrie chimique
chemical installation	installation chimique
chemical measurement of pollution	méthode chimique de mesure de la pollution
chemical oxygen demand	demande chimique en oxygène
chemical pest control	procédé chimique de lutte contre les nuisibles
chemical plant	usine chimique
chemical policy	politique en matière de produits chimiques
chemical pollutant	polluant chimique
chemical pollution	pollution chimique
chemical process	procédé chimique
chemical product	produit chimique
chemical property	propriété chimique
chemical reaction	réaction chimique
chemical reduction	réduction (chimie)
chemical risk	risque chimique
chemical structure	structure chimique
chemical treatment	traitement chimique
chemical waste	déchet chimique
chemical weapon	arme chimique
chemicals act	loi sur les produits chimiques
chemisorption	chimisorption
chemist ; pharmacist	pharmacien
chemist's ; chemist's shop ; pharmacy	pharmacie ; pharmacie
chemistry	chimie
cherry	cerise
chess	échecs ; jeu d'échec
chestnut	châtaignier
chicken	poulet
child	enfant
chimney	cheminée
chimney height	hauteur de cheminée
chimpanzee	chimpanzé
chipmunk	tamia
chiropteran	chiroptère
chloride	chlorure
chlorinated hydrocarbon	hydrocarbure chloré
chlorination	chloration
chlorine	chlore
chlorophenol	chlorophénol
chlorophyll	chlorophylle
chlorosis	chlorose
chocolate	chocolat
cholesterol	cholestérol ; cholestérine
chordate	chordés
chorology	chorologie
chromatographic analysis	analyse chromatographique
chromatography	chromatographie
chromium	chrome
chromosome	chromosome
chrysophyta	chrysophycées
church	église
cigar	cigare ; סיגר
cigarette	cigarette
cinematographic film	film cinématographique
circular mail	circulaire
citizen	citoyen
citizen awareness	conscience civique
citizen initiative	initiative du citoyen ; initiative populaire
citizen rights	droits du citoyen
city	ville
city centre	centre ville
civil air traffic	navigation aérienne civile
civil engineering	génie civil
civil law	droit civil
civil safety	sécurité civile
civilian protection	protection civile
claim for restitution	demande de remboursement
clarinet	clarinette
classification	classification
clay	argile
clean air area	zone d'air pur
clean air car	voiture propre
clean technology	technologie propre
cleaning up	nettoyage
cleanliness	propreté
cleansing department	service de nettoiement
clearing sludge	boue de curage
cliff	falaise
climate	climat
climate protection	protection du climat
climate resource	ressource climatique
climate type	type de climat
climatic alteration	altération climatique
climatic change ; climate change	changement climatique
climatic effect	effet climatique
climatic experiment	test climatique
climatic zone	zone climatique
climatology	climatologie
climax	climax
climbing plant (wall) ; climbing plant	plante grimpante (mur)
clinical symptom	symptôme clinique
cloning	clonage
closing down	fermeture
closing down of firm	fermeture d'une entreprise
clothing ; apparel	habillement
clothing industry	industrie de l'habillement
cloud	nuage
co-incineration	co-incinération
co-operation	coopération
co-operation policy	politique de coopération
co-operation principle	principe de coopération
co-ordinate system	système de coordonnées
co-ordination	coordination
coagulation	coagulation
coal	charbon
coal industry	industrie charbonnière
coal liquefaction	liquéfaction du charbon
coal mining	extraction de charbon
coal refining	raffinage de la houille
coal technology	technologie du charbon
coal-based energy	énergie à base de charbon
coal-fired power plant	centrale à charbon
coast	côte
coast protection	protection du littoral
coastal area	zone côtière
coastal development	développement du littoral
coastal ecosystem	écosystème côtier
coastal environment	environnement côtier
coastal fishing	pêche côtière
coastal pollution	pollution du littoral
coastal water	eaux côtières
coastal zone planning	aménagement de la zone littorale
coastguard	garde-côtière
coating	revêtement
cobalt	cobalt
cobweb	toile d'araignée
cocaine	cocaïne
cockroach	cafards ; cafard
code	code
code of practice	code de mise en pratique
codification	codification
coelenterate	coelentérés
coffee	café
cogeneration	cogénération
coin ; money	monnaie
coke	coke
cold	froid
coliform bacterium	colibacilles
colina ; hill ; loma	colline
collective wastewater treatment	assainissement collectif
colloid	colloïde
colloidal state	état colloïdal
colonisation	colonisation
colony	colonie
colour ; colour ; colo(u)r	couleur ; couleur ; couleur ; teinte ; teinte
colour composition	composition de couleurs
colourimetry	colorimétrie
colubrid	colubridés
combination effect	effet de combinaison
combined cycle-power station	centrale mixte
combined sewer system	réseau de canalisation combiné
combined transport	transport combiné
combined waste water	eaux usées issues d'un réseau d'assainissement unitaire
combustibility	combustibilité
combustion engine	moteur à combustion
combustion gas	gaz de combustion
combustion residue	résidu de combustion
come	venir
comet	Comète ; comète
commercial fishery	pêche professionnelle
commercial law	droit commercial
commercial noise	bruit des activités commerciales
commercial traffic	trafic commercial
commercial transaction	acte de commerce
commercial vehicle	véhicule commercial
commercialisation	commercialisation
common agreement	règle générale
common agricultural policy ; common agricultural policy of the EU	politique agricole commune
common commercial policy	politique commerciale commune
common tariff policy	politique tarifaire commune
communications	communication
communications industry	industrie de la communication
communications policy	politique de la communication
communications system	système de communication
communism	communisme
community facility ; public facility	équipement collectif
community-pays principle	principe de paiement communautaire
commuter traffic	migration pendulaire
compaction	compactage
company policy	politique d'entreprise
company structure	structure de l'entreprise
comparative law	droit comparé
comparative test	test comparatif
comparison	comparaison
compensation	compensation
compensation for damage	réparation des dommages
compensatory measure	mesure compensatoire
compensatory tax	taxe compensatoire
competition	compétition ; compétition biologique
competition law	droit de la concurrence
competitive examination	concours
competitiveness	compétitivité
complex formation	complexation
complexing agent	agent complexant
composite pollution	pollution composite
composition of population	composition de la population
compost	compost
compostable waste	déchet fermentescible
composting	compostage
composting by producer	compostage par le producteur
compound ; chemical compound	composé ; composé chimique ; corps composé
compression	compression
compressor	compresseur
computer	ordinateur
concentration	concentration
concept of environment	concept d'environnement
concession	concession
concrete	béton
concrete products industry	industrie du béton
condensation (process) ; condensation	condensation
condom ; prophylactic ; rubber ; safe ; safety	préservatif ; condom
conductivity ; electrical conductivity	conductivité
conference	conférence
conflict	conflit
conflict of aims	conflit d'objectifs
conflict of interests	conflit d'intérêts
conflicting use	usage incompatible
congress	congrès
conifer	conifère
coniferous forest	forêt de conifères
coniferous tree	conifère
conservation	conservation
conservation of monuments	conservation des monuments
conservation policy	politique de conservation de la nature
consideration	consideración
consonant	consonne
constellation	constellation
constitution	constitution
constitutional law	droit constitutionnel
constructed language ; artificial language	langue construite ; langue artificielle
construction equipment	engin de chantier
construction noise	bruit de construction
construction policy	politique de la construction
construction technology	technologie du bâtiment
construction with recycled material	construction avec des matériaux recyclés
construction work	travaux de construction
consultancy	société de conseil
consultation	consultation
consume ; eat ; swallow	avaler ; consommer ; manger
consumer behaviour	comportement des consommateurs
consumer goods	bien de consommation
consumer group	groupement de consommateurs
consumer information	information des consommateurs
consumer product	produit de consommation
consumer protection	protection des consommateurs
consumer waste	déchets assimilés aux ordures ménagères
consumption	consommation
consumption pattern	mode de consommation
container	conteneur
containment (nuclear industry) ; containment	dôme de confinement
contaminated soil	sol contaminé
contamination	contamination
continent	continent
continental climate	climat continental
continental shelf	plate-forme continentale ; plateau continental
continuing education	formation continue
continuous load	charge continue
contour farming	cultures selon les courbes de niveau ; culture selon les courbes de niveau ; culture en courbes de niveau
contract	contrat
control measure	mesure de contrôle
controlled burning	brûlage contrôlé
controlled hunting zone	zone de chasse contrôlée
controlling authority	autorité de contrôle
conurbation	conurbation
convention	convention
conventional energy	énergie conventionnelle
cooling	refroidissement
cooling oil	huile de refroidissement
cooling tower	tour de refroidissement
cooling water	eau de refroidissement
copper	cuivre
coppice	taillis
coppice with standards	taillis sous futaie
coral	corail
coral reef	récif corallien
coral reef lagoon	lagon
core meltdown	fusion du coeur
cork	liège
corridor	corridor urbain
corrosion	corrosion
corrosion inhibitor	produit anti-corrosion
corruption	corruption
cosmetic industry	industrie cosmétique
cosmic radiation	rayonnement cosmique
cosmology	cosmologie
cost	coût
cost increase	augmentation des coûts
cost reduction	réduction des coûts
cost-benefit	relation coûts-bénéfices
cost-benefit analysis	analyse coûts-bénéfices
cotton	coton
country ; nation ; state	état
country lodge	gîte rural
county	département (UK) ; département
court	tribunal
court of justice	Cour de justice
cove	calanque
covering ; roofing	couverture
cow	vache
craft ; arts and crafts	artisanat
creativity ; inventiveness	créativité
credit	crédit
credit assistance	assistance en matière de crédit
credit policy	politique de crédit
creek	crique
crime	crime
criminal law	droit pénal
criminal law procedure	procédure pénale
criminal liability	responsabilité pénale
criminality	criminalité
crisis management	gestion de crise
critical level	niveau critique
critical load	charge critique
crocodile	crocodile
crop production	production végétale
crop protection	protection des cultures
crop rotation	rotation des cultures
crop treatment	traitement des cultures
crossing place	passage
crossing place for animals	endroit de passage aménagé pour les animaux
crossword	mots croisés
crucifix	crucifix
crude oil	pétrole brut
cruising	croisière
crustacean	crustacé
cryptogam	cryptogame
crystal	cristal
crystallisation	cristallisation
crystallography	cristallographie
cucumber	concombre
cultivated plant	plante cultivée
cultivation ; tillage	culture
cultivation method	méthode culturale
cultivation of agricultural land	exploitation de la terre agricole
cultivation system	système de culture
cultural development	développement culturel
cultural facility	équipement culturel
cultural heritage	patrimoine culturel
cultural indicator	indicateur culturel
cultural policy	politique culturelle
culture	culture
curium	curium
currency	devise
curriculum	programme d'études
customs	douane
customs regulation	réglementation douanière
customs tariff	tarif douanier
cutting	abattage
cutting ; cutting (vegetative propagation)	bouture
cyanate	cyanate
cyanide	cyanure
cycle path	piste cyclable
cyclone	cyclone
cytology	cytologie
cytotoxicity	cytotoxicité
dairy farm	laiterie
dairy industry	industrie laitière
dairy product	produit laitier
dam	barrage
dam draining	vidange de barrage
damage	dommage
damage assessment	évaluation des dommages
damage from military manoeuvres	dommages dus à des manoeuvres militaires
damage insurance	assurance dommages
damage prevention	prévention des dommages
dance	danse
dandelion	pissenlit
danger analysis	étude de danger
dangerous goods	matières dangereuses
dangerous goods law	loi sur les matières dangereuses
dangerous goods regulation	réglementation des matières dangereuses
dangerous installation	installation dangereuse
dangerous materials transport	transport de matières dangereuses
darmstadtium	darmstadtium
data acquisition	acquisition des données
data analysis	analyse des données
data carrier	support de données
data centre	centre de données
data exchange	échange de données
data on the state of the environment	données sur l'état de l'environnement
data processing	traitement des données
data processing law	droit de l'informatique
data processing system	système informatique
data protection	protection des données
data recording technique	technique d'enregistrement des données
database	base de données
dating	datation
daughter	fille
day ; daytime	jour
dazzle	aveugler
de-inking	désencrage
deaf	sourd
death penalty ; capital punishment ; death sentence	peine de mort ; peine capitale
debit	débiter
debt	dette
debt service	service de la dette
decay product	descendant
decentralisation	décentralisation
dechlorination	déchloruration
decibel	décibel
deciduous forest ; deciduous wood	forêt de feuillus
deciduous tree	arbre à feuilles caduques
decision	décision
decision making support	aide à la décision
decision process	processus de décision
decision-support system	système d'aide à la décision
declaration ; statement	déclaration
declaration of public utility	déclaration d'utilité publique
decomposition	décomposition
decontamination	décontamination
decree	décret ; décret
deep sea	grand fond marin
deep sea fishing	pêche en haute mer
deep sea mining	activité d'extraction off-shore
deep-sea disposal	décharge en haute mer
deer	cerf
defence	défense
defendant ; accused	accusé
deflation	déflation
defoliation	défoliation
deforestation	déforestation
degradability	dégradabilité
degradation	dégradation
degradation of natural resources	dégradation des ressources naturelles
degradation of the environment	dégradation de l'environnement
degradation product	produit de dégradation
degreasing	dégraissage
dehydrated sludge	boue deshydratée
delegated management	gestion déléguée
deliver	accoucher
delta	delta
demand	demande
demesnial water	eau domaniale
democracy	démocratie
demographic development	croissance démographique
demographic evolution	évolution démographique
demography	démographie
demolition business	entreprise de démolition
demolition waste	déchet de démolition
demonstrability	démontrabilité
dendrochronology ; tree-ring dating	dendrochronologie
dendrometry	dendrométrie
dengue fever	dengue ; grippe tropicale ; petit palu
denitrification	dénitrification
denitrification of waste gas	dénitrification des effluents gazeux
density	densité
dentist	dentiste
dentistry	odontologie
deposition	rétombée atmosphérique
deregulation	dérégulation
dermatology	dermatologie
desalination	déssalement
desalination plant	usine de déssalement
desert	désert
desert climate	climat désertique
desert locust	criquet pélérin
desertification	désertification
desertification control	lutte contre la désertification
design (project) ; design ; project design	dessin industriel ou architectural ; dessin industriel
desk study	étude de bureau
desorption	désorption
destination of transport	localisation du transport
desulphurisation	désulfuration
desulphurisation of fuel	désulfuration des combustibles
detection	enquête ; investigation
detector	détecteur
detergent	détergent
determination method	méthode de détermination
deterrence	dissuasion
deterrent	dissuasif
detoxification	désintoxication
deuterium	deutérium
developed country	pays développé
developing country	pays en développement
development aid	aide au développement
development area	zone de développement
development co-operation	coopération au développement
development model	modèle de développement
development pattern	modèle de développement
development plan	plan d'aménagement
devolution	délégation de pouvoir
dialect	dialecte
dialysis	dialyse
diarrhea	diarrhée
diary	journal
diatom	diatomées
dice ; die ; die ; die	dé
dictionary	dictionnaire ; dico
didactics	didactique
diesel engine	moteur diesel
diesel fuel ; diesel	fioul ; gazole ; diesel ; mazout ; naphte ; fuel
differentiation	différenciation
difficult	difficile ; dur ; compliqué ; épineux ; ardu ; délicat ; malaisé
diffuse pollution	pollution diffuse
diffuse source	source de pollution diffuse
diffusion	diffusion
digested sludge	boue digérée
digester	digesteur
digestion	digestion
digital image processing technique	technique de traitement numérique des images
digital land model	modèle terrestre numérique
digitising	digitalisation
diluted acid	acide dilué
diocese ; diocese	diocèse ; diocèse
dioxin	dioxine
diplomat	diplomate
dipteran	diptères
direct discharger	inducteur direct
directive	directive
disabled person	personne handicapée
disaster	catastrophe écologique
disaster cleanup operation	restauration après catastrophe
disaster contingency plan	plan catastrophe
disaster control service	service de prévention des risques
disaster preparedness	prévoyance en cas de catastrophe
disaster prevention	prévention des catastrophes
disaster relief	secours en cas de catastrophe
disaster zone	zone sinistrée
discharge regime	régime d'écoulement
discount	rabais ; remise ; réduction
discrimination	discrimination
disease ; illness ; affliction	maladie
disease cause	étiologie
disinfectant	désinfectant
disinfection	désinfection
dispatch note	bulletin d'expédition
dispersion	dispersion
dispersion calculation	calcul de dispersion
displaced person	personne déplacée
disposal of the dead	pompes funèbres
disposal of warfare materials	élimination des matériels de guerre
dissolution	dissolution
dissolved organic carbon	carbone organique dissous
dissolved oxygen	oxygène dissous
distillation	distillation
distortion of competition	distorsion de concurrence
distribution	distribution
distribution area	zone
distributive trade	distribution commerciale
district heating	chauffage urbain
district heating plant	centrale de chauffage à distance
disused military site	terrain militaire désaffecté
ditch	fossé
division	division
divorce	divorce
do	faire
doctrine	doctrine
document	document
document lending	prêt de document
document type	type de document
documentary film	film documentaire
documentary system	système documentaire
documentation	documentation
documentation centre	centre de documentation
dog	chien
doll	poupée
dolphin	dauphin
domestic appliance	appareil électro-ménager
domestic fuel	fioul domestique
domestic fuel oil	mazout de chauffage
domestic noise	bruit domestique
domestic pollution	pollution domestique
domestic trade	commerce intérieur
domestic waste	ordures ménagères
domestic waste landfill	décharge d'ordures ménagères
domestic waste water	eau usée domestique
domesticated animal	animal domestique
donation	don ; donation
donkey ; ass	âne ; baudet ; bourricot
door	porte
dosage	dosage
dose	dose
dose-effect relationship	relation dose-effet
draft legislation	projet d'acte législatif
dragonfly	libellule
drainage	drainage
drainage system	réseau de drainage
drainage water	eau de drainage
draining	assèchement
draught animal	bête de trait
dream	rêver
dredged material	matériau dragué
dredging	dragage
dress	robe
dress ; clothe	habiller
drift net fishing	pêche aux filets dérivants
drilling	forage
drilling for oil	forage pétrolier
drilling installation	installation de forage
drink ; gulp ; quaff ; sip	boire
drinking water	eau potable
drinking water protection area	zone de captage d'eau potable
drinking water supply	approvisionnement en eau potable
drinking water treatment	traitement de l'eau potable
dromedary	dromadaire
drought	sécheresse
drought control	lutte contre la sécheresse
drug	médicament
drunk ; drunkard ; boozer	alcoolique ; ivrogne
dry	sec ; sèche
dry cleaning	nettoyage à sec
dry deposition	retombée sèche
dry farming	aridoculture
dry lawn	pelouse sèche
drying	séchage
drying out	dessèchement
dual economy	économie à deux vitesses
dual waste management	gestion commune des déchets banals et spéciaux
dubnium	dubnium
duck	canard
dumb	muet
dumping	décharge non réglementaire ; décharge sauvage ; décharge non contrôlée
dune	dune
durable goods	biens durables
duration of sunshine	durée de l'ensoleillement
dust	poussière
dust removal	dépoussiérage
dwelling	habitation
dye	teinture
dyke	barrière ; digue
dyke reinforcement	renforcement de digue
dyslexia	dyslexie
dysprosium	dysprosium
ear	oreille
early	tôt
early warning system	système d'alerte rapide
earth ; Earth ; the world ; Blue Planet	terre ; Terre
earth science	sciences de la terre
earth's crust ; crust ; Earth's crust	croûte terrestre ; croûte ; croute ; croute terrestre
earthquake	séisme ; tremblement de terre
earthworm	lombric
earwig	perce-oreille
easement	servitude
easy ; piece of cake ; like shooting fish in a barrel	facile
eat	manger
echinoderm	échinoderme
eco-paediatrics	écopédiatrie
ecocatastrophe	catastrophe écologique
ecodevelopment	ecodéveloppement
ecolabel	écolabel
ecolabelling	écolabellisation
ecological abundance	population (spécifique)
ecological adaptation	adaptation écologique
ecological assessment	évaluation écologique
ecological balance	équilibre écologique
ecological bookkeeping	comptabilité écologique
ecological carrying capacity	capacité de charge écologique
ecological community	communauté écologique
ecological factor	facteur écologique
ecological inequality	inégalité écologique
ecological niche	niche écologique
ecological parameter	paramètre écologique
ecological stocktaking	inventaire écologique
ecologically sensitive area	zone sensible (écologie)
ecologist movement	mouvement écologiste
ecology	écologie
ecomarketing	écomarketing
ecomuseum	écomusée
economic activity	activité économique
economic analysis	analyse économique
economic competition	concurrence ; concurrence économique ; compétition économique
economic concentration	concentration économique
economic data	donnée économique
economic development	développement économique
economic forecasting	prévision économique
economic geography	géographie économique
economic growth	croissance économique
economic incentive	incitation économique
economic instrument	instrument économique
economic management instrument	instrument de gestion économique
economic plan	plan économique
economic planning	planification économique
economic policy	politique économique
economic region	région économique
economic rights	droits économiques
economic science ; economics	science économique
economic sector	secteur économique
economic situation	situation économique
economic structure	structure économique
economic support	soutien économique
economic system	système économique
economic theory	théorie économique
economic trend	conjoncture
economic viability	viabilité économique
economical-ecological efficiency	efficience économique-écologique
economy	économie
ecophysiology	écophysiologie
ecosystem	écosystème
ecosystem analysis	analyse de l'écosystème
ecosystem degradation	dégradation de l'écosystème
ecosystem research	recherche sur les écosystèmes
ecosystem type	type d'écosystème
ecotourism	écotourisme
ecotoxicity	écotoxicité
ecotoxicological evaluation	évaluation écotoxicologique
ecotoxicology	écotoxicologie
ecotype	écotype
ecozone	écozone
edaphology	édaphologie
edible	comestible ; consommable ; mangeable
edible fat	graisse alimentaire
education	éducation
education policy	politique en matière d'éducation
educational institution	établissement d'enseignement
educational path	sentier pédagogique
educational planning	planification de l'enseignement
educational system	système éducatif
effect	effet
effect on health	effet sur la santé
effect on man	effet sur l'homme
effect on the environment ; environmental consequence	conséquence sur l'environnement ; effet sur l'environnement
efficiency criterion	critère d'efficacité
efficiency level	niveau d'efficacité
effluent	effluent
effort ; exertion	effort
egg	oeuf ; œuf
eight	huit
einsteinium	einsteinium
ejaculation	éjaculation
elasticity	élasticité
elbow	coude
elder ; elderberry	sureau
elderly person	personne agée
electric battery	pile électrique
electric line ; power line	ligne électrique
electric power	énergie électrique ; puissance électrique
electric power plant	centrale électrique
electric power supply	approvisionnement en électricité
electric vehicle	véhicule électrique
electrical engineering	génie électrique ; électrotechnique
electrical goods industry	indutrie des biens électroménagers
electrical industry	industrie électrique
electricity	électricité
electricity company	compagnie d'électricité
electricity consumption	consommation d'électricité
electricity generation	production d'énergie électrique
electricity generation cost	coût de la production électrique
electricity supply industry	gestion de l'électricité
electrokinetics	effets électrocinétiques
electrolysis	électrolyse
electromagnetism	électromagnétisme
electron	électron
electronic information network	réseau électronique d'information
electronic mail ; email ; e-mail	courrier électronique ; courriel ; mail
electronic material	matériel électronique
electronic scrap	ferraille électronique
electronic scrap regulation	réglementation sur la ferraille électronique
electronics	électronique
electrosmog	pollution électromagnétique
electrotechnical equipment	équipement électrotechnique
electrotechnical industry	industrie électrotechnique
element of group 0 ; noble gas	éléments du groupe 0 ; gaz nobles ; gaz rares ; gaz noble ; gaz rare ; élément du groupe 0
element of group II (alkaline earth metals) ; alkaline earth metal ; element of group II	éléments du groupe II (métaux alcalino-terreux) ; éléments du groupe II ; métaux alcalino-terreux ; métal alcalino-terreux ; élément du groupe II
element of group III	éléments du groupe III ; élément du groupe III
element of group IV	éléments du groupe IV ; élément du groupe IV
element of group V	éléments du groupe V ; élément du groupe V
element of group VI	éléments du groupe VI ; élément du groupe VI
element of group VII ; halogen	éléments du groupe VII ; halogène ; élément du groupe VII
elephant	éléphant
emancipation	émancipation
embassy ; diplomatic mission	ambassade
embryo	embryon
embryogenesis	embryogénèse
emergency	émergence
emergency law	Loi sur l'état d'urgence
emergency plan	plan d'urgence
emergency relief	secours d'urgence
emergency shelter	abri d'urgence
emission	émission
emission control	contrôle des émissions
emission data	donnée sur les émissions
emission factor	facteur d'émission
emission forecast	prévision d'émission
emission reduction	réduction d'émission
emission reduction banking	mise en réserve de crédits pour la réduction des émissions
emission register	registre des émissions
emission situation	état des émissions
emission source	source d'émission
emission standard	norme de rejet
emission to water	rejet dans l'eau
employment	emploi
employment ; employment ; job ; job ; occupation ; work ; work	emploi ; métier ; profession ; travail
employment and environment	environnement et emploi
employment level effect	effet sur le niveau de l'emploi
employment structure	structure de l'emploi
empty	vide
emulsification	émulsification
emulsion	émulsion
encapsulation	encapsulation
encephalitis	encéphalite
encyclopaedia	encyclopédie
end-of-pipe technology	technologie "end-of-pipe"
endangered animal species	espèce animale menacée
endangered plant species	espèce végétale menacée
endemic species	espèce endémique
endocrine system	système endocrinien
endocrinology	endocrinologie
enemy	ennemi ; ennemi
energy	énergie
energy balance	bilan énergetique
energy consumption	consommation d'énergie
energy conversion	conversion de l'énergie
energy demand	besoin en énergie
energy dissipation	dissipation d'énergie
energy distribution system	système de distribution énergétique
energy economics	économie de l'énergie
energy efficiency	efficacité énergétique
energy industry	industrie énergétique
energy legislation	législation en matière d'énergie
energy management	gestion de l'énergie
energy market	marché de l'énergie
energy policy	politique énergétique
energy process	processus énergétique
energy production	production d'énergie
energy resource	ressource énergétique
energy saving	économie d'énergie
energy source	source d'énergie
energy source material	matières brutes énergétiques
energy storage	stockage d'énergie
energy supply	approvisionnement en énergie
energy technology	technologie énergétique
energy type	type d'énergie
energy utilisation ; energy use	utilisation de l'énergie
enforcement	application
engine	moteur
engineer	ingénieur
engineering	ingéniérie ; ingénierie ; sciences de l'ingénieur
engineering work	ouvrage d'art
enjoy your meal ; have a nice meal	bon appétit
enlargement policy	politique d'élargissement
enlargement programme	programme d'élargissement
enriched uranium	uranium enrichi
enrichment	enrichissement
enter	entrer
enterovirus	entérovirus
entrepreneur	entrepreneur
environment	environnement
environment friendly	favorable à l'environnement
environment market	marché de l'environnement
environmental accident	accident écologique
environmental accounting	comptabilité de l'environnement
environmental administration institution	organisme administratif a compétence environnementale
environmental analysis	étude de milieu
environmental anxiety	inquiétude environnementale
environmental aspect of human settlements	aspects écologiques des établissements humains
environmental assessment	évaluation environnementale
environmental assessment criterion	critère d'évaluation environnementale
environmental auditing	audit d'environnement
environmental awareness	conscience environnementale
environmental change	changement écologique
environmental chemicals legislation	législation en matière des produits chimiques présents dans l'environnement
environmental chemistry	chimie environnementale
environmental citizenship	écocitoyenneté
environmental compatibility	éco-compatibilité
environmental consequence	conséquence sur l'environnement
environmental conservation	sauvegarde de l'environnement
environmental contingency planning	plan d'intervention en cas de catastrophe
environmental control	contrôle de l'environnement
environmental cost	coût environnemental
environmental crime	crime écologique
environmental criminal law	droit pénal en matière d'environnement
environmental criminality	délits à l'encontre de l'environnement
environmental criterion	critères et données de surveillance
environmental culture	culture environnementale
environmental damage	atteinte à l'environnement
environmental data	donnée environnementale
environmental development	développement environnemental
environmental economic valuation	évaluation économique environnementale
environmental economics	économie de l'environnement
environmental economics of firms	économie environnementale des entreprises
environmental economy issue	enjeu économique de l'environnement
environmental education	éducation à l'environnement
environmental engineering	ingéniérie de l'environnement
environmental enterprise	entreprise environnementale
environmental ethics	éthique de l'environnement
environmental friendly procurement	achat de produits et de services écologiques
environmental fund	fonds pour l'environnement
environmental hazard	danger environnemental
environmental health	hygiène de l'environnement
environmental health hazard	risque écologique pour la santé
environmental health impact assessment	évaluation de l'impact des conditions de vie sur la santé
environmental health protection	protection de l'hygiène du milieu
environmental history	histoire de l'écologie
environmental impact	impact sur l'environnement
environmental impact of agriculture	impact de l'agriculture sur l'environnement
environmental impact of aquaculture	impact de l'aquaculture sur l'environnement
environmental impact of energy	impact de l'énergie sur l'environnement
environmental impact of fishing	impact de la pêche sur l'environnement
environmental impact of forestry	impact de la sylviculture sur l'environnement
environmental impact of households	impact des ménages sur l'environnement
environmental impact of industry	impact de l'industrie sur l'environnement
environmental impact of recreation	impact des loisirs sur l'environnement
environmental impact of tourism	impact  du tourisme sur l'environnement
environmental impact of transport	impact des transports sur l'environnement
environmental impact statement	déclaration sur l'impact écologique
environmental impact study	étude d'impact sur l'environnement
environmental incentive	Incitation financière à la protection de l'environnement
environmental index	index environnemental
environmental indicator	indicateur environnemental
environmental industry	écoindustrie
environmental informatics	informatique environnementale
environmental information	information environnementale
environmental information network	réseau d'information sur l'environnement
environmental information system	système d'information sur l'environnement
environmental investment	investissement environnemental
environmental law	droit de l'environnement
environmental law enforcement	application du droit de l'environnement
