# English-German dictionary created from OmegaWiki database
# Created on: 2018-06-03T19:46:37+00:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: https://www.dicts.info/uddl.php
# Contact us at: https://www.dicts.info/contact.php
9 ; nine	neun
Epiphany	Epiphanias ; Epiphanie ; Erscheinung des Herrn ; Dreikönigsfest ; Theophanie
Equatorial Guinea ; Republic of Equatorial Guinea	Äquatorialguinea
Erevan ; Yerevan	Eriwan ; Jerewan
Eritrea	Eritrea
Esperanto ; Esperanto	Esperanto
Estonia ; Republic of Estonia	Estland
Estonian	Estnisch
Ethiopia ; Federal Democratic Republic of Ethiopia	Äthiopien
Euratom	Europäische Atomgemeinschaft
Europe	Europa
European Commission	Europäische Kommission
European Communities	EG ; Europäische Gemeinschaften
European Court of Justice	Europäischer Gerichtshof
European Environment Agency	Europäische Umweltagentur
European Environmental Council	Europäischer Umweltrat
European Monetary Fund	Europäischer Währungsfond
European Monetary System ; EMS	Europäisches Währungssystem ; EWS
European Parliament	Europäisches Parlament
European nature reserve	Europareservat
European standard	Europäische Norm
Falkland Islands	Falklandinseln
Faroe Islands	Färöer ; Färöer-Inseln
Faroese ; Faeroese	Färöisch ; Färingisch
February	Februar
Fiji ; Republic of the Fiji Islands	Fidschi
Finland ; Republic of Finland	Finnland ; Republik Finnland
Finnish	Finnisch
Flanders ; Flemish region	Flandern
Flemish	Flämisch
Flevoland	Flevoland
France	Frankreich
French ; French	Französisch
French Guiana	Französisch-Guayana
French Polynesia	Französisch-Polynesien
French Revolution	Französische Revolution
French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands	Französische Süd- und Antarktisgebiete
French formal garden	Französischer Garten
Frenchman	Franzose
Friday	Freitag
Frisian ; Western Frisian	Friesisch
GDP ; gross domestic product	Bruttoinlandsprodukt
GDR ; German Democratic Republic	DDR ; Deutsche Demokratische Republik
GIS digital format	GIS Digitalformat
GIS digital system	GIS Digitalsystem
GIS digital technique	GIS Digitalverfahren
GIS laboratory	GIS-Labor
Gabon ; Gabonese Republic	Gabun
Gaborone	Gaborone
Galician ; Galician	Galizisch
Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia	Gambia ; Gambia ; Gambia ; Gambia ; Gambia ; Gambia
Gaza Strip	Gazastreifen
Gemini	Zwillinge
Georgia	Georgien
Georgia	Georgia
Georgian ; Georgian	Georgisch
German	Deutsch ; ألماني
German	Deutsche ; Deutscher
German	deutsch
German (Austria)	Deutsch (Österreich)
German (Switzerland)	Deutsch (Schweiz)
Germany ; Federal Republic of Germany	Deutschland ; BRD ; Bundesrepublik Deutschland
Ghana ; Republic of Ghana	Ghana
Gibraltar	Gibraltar
Global Environment Facility ; GEF	Globale Umweltfazilität
Great Britain ; Britain	Großbritannien
Greece ; Hellenic Republic	Griechenland
Greek ; Greek	Griechisch
Greek alphabet	griechisches Alphabet
Greenland	Grönland
Gregorian calendar	gregorianischer Kalender ; Gregorianischer Kalender
Grenada	Grenada
Guadeloupe	Guadeloupe
Guam ; Guam ; Guam	Guam
Guatemala ; Republic of Guatemala	Guatemala
Guinea ; Republic of Guinea	Guinea
Guinea-Bissau ; Republic of Guinea-Bissau	Guinea-Bissau
Gujarati ; Gujarati	Gujarati
Guyana ; Republic of Guyana	Guyana
H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)	Influenzavirus typ A/H5N1 ; H5N1
Haiti ; Republic of Haiti	Haiti
Hannukah	Chanukka
Hanover	Hannover
Happy New Year	Prosit Neujahr ; Frohes neues Jahr ; Gutes neues Jahr
Hebrew	Hebräisch
Hercules	Herkules
Hindi ; Hindi	Hindi
Holland ; Kingdom of the Netherlands ; The Netherlands	Königreich der Niederlande ; Niederlande ; Holland ; Holland
Honduras ; Republic of Honduras	Honduras
Hungarian	Ungarisch
Hungary ; Republic of Hungary	Ungarn
I	ich
IMCO code	IMCO-Code
IMF ; International Monetary Fund	Internationaler Währungsfonds ; IWF
ISO standard	ISO-Norm
Iceland ; Republic of Iceland	Island
Icelandic	Isländisch
Ido ; Ido	Ido
Iliad	Ilias
India ; Republic of India	Indien
Indian Ocean	Indik ; Indischer Ozean
Indonesia ; Republic of Indonesia	Indonesien
Indonesian	Indonesisch
Indre	Indre
Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin	Interlingua
International Court of Justice	Internationaler Gerichtshof
Internet	Internet
Iran ; Islamic Republic of Iran	Iran ; Islamische Republik Iran
Iraq ; Republic of Iraq	Irak
Ireland ; Republic of Ireland	Irland
Irish ; Irish ; Irish Gaelic ; Irish	Irisch ; Irisch-Gälisch
Islam	Islam
Isle of Man ; Isle of Mann ; Mann	Insel Man
Israel ; State of Israel	Israel
Italian ; Italian	Italienisch
Italian Republic ; Italy	Italien
Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire	Elfenbeinküste
Jakarta ; Djakarta ; DKI Jakarta	Jakarta
Jamaica	Jamaika
January	Jänner ; Januar
Japan ; State of Japan	Japan
Japanese ; Japanese	Japanisch
Javanese	Javanisch
Jersey ; Bailiwick of Jersey	Jersey ; Vogtei Jersey
Jordan ; Hashemite Kingdom of Jordan	Jordanien
Judaism	Judentum ; Judaismus
July	Juli
June	Juni
Jupiter	Jupiter
Kalaallisut	Kalaallisut ; Grönländisch
Kannada ; Kannada	Kannada
Karelian	Karelisch
Kazakh ; Kazakh	Kasachisch
Kazakhstan ; Republic of Kazakhstan	Kasachstan
Kenya ; Republic of Kenya	Kenia
Khartoum	Khartum
Khmer ; Central Khmer	Khmer
Kiribati ; Republic of Kiribati	Kiribati
Korean ; Korean	Koreanisch
Kosovo	Kosovo
Krakow ; Cracow	Krakau
Kuwait ; State of Kuwait	Kuwait ; Kuweit
Kyoto	Kyoto
Kyrgyzstan ; Kyrgyz Republic	Kirgisistan
Lagos	Lagos
Lao ; Lao	Laotisch
Laos ; Lao People's Democratic Republic	Laos ; Demokratische Volksrepublik Laos
Latin ; Latin	Latein ; Lateinisch
Latvia ; Republic of Latvia	Lettland
Latvian ; Latvian	Lettisch
Lausanne	Lausanne
Lebanon ; Lebanese Republic	Libanon
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	Leningrad ; Petrograd ; Sankt Petersburg
Leo	Löwe
Lesotho ; Kingdom of Lesotho	Lesotho
Liberia ; Republic of Liberia	Liberia
Libra	Waage
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Libyen ; Lybien ; Libysch-Arabische Dschamahirija
Liechtenstein ; Principality of Liechtenstein	Liechtenstein ; Fürstentum Liechtenstein
Limburgish ; Limburgian	Limburgisch
Lisbon	Lissabon
Lithuania ; Republic of Lithuania	Litauen
Lithuanian ; Lithuanian	Litauisch
London	London
Lower House	Unterhaus
Lower Saxony	Niedersachsen
Luxembourg ; Grand Duchy of Luxembourg	Luxemburg ; Großherzogtum Luxemburg
Luxembourgish ; Luxemburgish ; Luxembourgian	Luxemburgisch
Lyon	Lyon ; Leyden
Macedonia ; Republic of Macedonia	Mazedonien
Macedonian ; Macedonian	Mazedonisch
Madagascar ; Republic of Madagascar	Madagaskar
Malawi ; Republic of Malaŵi	Malawi
Malayalam ; Malayalam	Malayalam
Malaysia	Malaysia
Maldives ; Republic of the Maldives	Malediven
Mali ; Republic of Mali	Mali
Malta ; Republic of Malta	Malta
Maltese	Maltesisch
Maori	Maori
Marathi ; Marāthi ; Marāthi ; MarÄthi	Marathi
March	März
Markov chain ; Markoff chain	Markow-Kette ; Markowsche Kette ; Markov-Kette ; Markoff-Kette
Marshall Islands ; Republic of the Marshall Islands	Marshallinseln
Martinique	Martinique
Massachusetts	Massachusetts
Mauritania ; Islamic Republic of Mauritania	Mauretanien
Mauritius ; Republic of Mauritius	Mauritius
May	Mai
Mayotte	Mayotte
Mecca	Mekka
Mediterranean Area	Mittelmeerraum
Mediterranean Sea	Mittelmeer ; Europäisches Mittelmeer ; Mittelländisches Meer
Mediterranean climate	mediterranes Klima ; Mittelmeerklima
Mediterranean forest	mediterraner Forst ; mediterraner Wald
Mediterranean wood	mediterranes Buschwerk
Mercury	Merkur
Merry Christmas	Fröhliche Weihnachten ; Frohe Weihnachten
Merry Christmas and a happy New Year	Frohe Weihnachten und ein schönes neues Jahr
Mexico ; United Mexican States	Mexiko
Micronesia ; Federated States of Micronesia	Mikronesien ; Föderierte Staaten von Mikronesien
Milan	Mailand
Milky Way ; Galaxy	Milchstraße ; Galaxis
Milwaukee	Milwaukee
Moldova	Moldau ; Moldawien
Monaco	Monaco
Monday	Montag
Mongolia	Mongolei
Montenegro	Montenegro
Montserrat	Montserrat
Morocco ; Kingdom of Morocco	Marokko
Moscow	Moskau
Mount Fuji	Fujisan ; Fuji
Mozambique	Mosambik
Mumbai ; Bombay	Mumbai ; Bombay
Munich	München
Myanmar	Myanmar ; Birma
NIMBY aptitude ; NIMBY attitude	Floriansprinzip
NOEL	NOEL
Nagorno-Karabakh	Bergkarabach
Nairobi	Nairobi
Namibia	Namibia
Naples	Neapel
Nauru ; Republic of Nauru	Nauru
Neapolitan ; Neapolitan	Neapolitanisch
Nepal	Nepal
Nepali ; Nepali	Nepali ; Nepalesisch
Neptune	Neptun
New Caledonia	Neukaledonien
New Year ; New Year's Day	Neujahr ; Neujahrstag
New York	New York
New Zealand	Neuseeland
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria
Niue	Niue
North Africa	Nordafrika
North America	Nordamerika
North Atlantic Ocean	Nordatlantik ; Nordatlantischer Ozean
North Korea ; Democratic People's Republic of Korea	Nordkorea
North-South relationship	Nord-Süd-Beziehung
Northern Ireland	Nordirland
Norway ; Kingdom of Norway	Norwegen
Norwegian	Norwegisch
November	November
Novial	Novial
Nuuk	Nuuk
Nynorsk	Nynorsk ; Neunorwegisch
Oceania	Ozeanien
October	Oktober
Oklahoma	Oklahoma
Oman ; Sultanate of Oman	Oman
Orleans	Orléans
Oslo	Oslo
Pacific Ocean	Pazifischer Ozean ; Stiller Ozean ; Großer Ozean ; Pazifik
Pakistan ; Islamic Republic of Pakistan	Pakistan
Palau	Palau
Panama	Panama
Papua New Guinea	Papua-Neuguinea
Paraguay	Paraguay
Paris	Paris
Parliament	Parlament
People's Republic of China ; China	China
Persian ; Western Farsi ; Farsi	Persisch
Peru ; Republic of Peru	Peru
Philadelphia	Philadelphia
Philippines	Philippinen
Phobos	Phobos
Piedmontese ; Piedmontese ; Piemontese ; Piemontese	Piemontesisch
Poland	Polen
Polish ; Polish	Polnisch
Portugal	Portugal
Portuguese ; Portuguese	Portugiesisch
Puerto Rico	Puerto Rico
Punjabi ; Panjabi	Punjabi
Pyrenees	Pyrenäen
Pyrrhic victory	Pyrrhussieg
Qatar	Katar
Ramadan	Ramadan
Republic of the Congo ; Congo-Brazzaville	Republik Kongo
Rhône	Rhône
Romania	Rumänien
Romanian ; Romanaian	Rumänisch
Rome	Rom
Russia ; Russian Federation	Russland ; Russische Föderation
Russian ; Russian	Russisch
Sagittarius	Schütze
Saint-Pierre and Miquelon	Saint-Pierre und Miquelon
Sakhalin ; Saghalien	Sachalin
Samoa	Samoa
San Marino	San Marino
Sanskrit ; Sanskrit	Sanskrit
Sapir–Whorf hypothesis	Sapir-Whorf-Hypothese
Saturday	Samstag ; Sonnabend
Saturn	Saturn
Saudi Arabia ; Kingdom of Saudi Arabia	Saudi-Arabien
Saxony	Sachsen
Scorpio	Skorpion
Scotland	Schottland
Seine	Seine
Senegal	Senegal
September	September
Serbia	Serbien
Serbia and Montenegro	Serbien und Montenegro
Serbian ; Serbian	Serbisch
Seychelles ; Republic of Seychelles	Seychellen
Sicilian ; Sicilian	Sizilianisch
Sierra Leone	Sierra Leone
Sindhi ; Sindhi	Sindhi
Singapore	Singapur
Slovak ; Slovak	Slowakisch
Slovakia	Slowakei ; Σλοβακία
Slovene ; Slovenian ; Slovenian	Slowenisch
Slovenia	Slowenien
Sochi	Sotschi
Solomon Islands	Salomonen
Somali ; somali	Somali ; Somalisch
South Africa	Südafrika ; Republik Südafrika
South America	Südamerika
South Korea ; Republic of Korea	Südkorea
Southeast Asia	Südostasien
Southern Asia ; South Asia	Südasien
Spain	Spanien
Sri Lanka	Sri Lanka
Sudan	Sudan
Sun King	Sonnenkönig
Sunday	Sonntag
Suriname	Surinam
Swahili	Swahili
Sweden	Schweden
Swedish	Schwedisch
Switzerland	Schweiz
Syria ; Syrian Arab Republic	Syrien ; Arabische Republik Syrien
Tagalog	Tagalog
Taiwan	Taiwan
Tajik	Tadschikisch
Tajikistan	Tadschikistan
Tamil ; Tamil	Tamil
Tanzania	Tansania
Tatar ; Tatar	Tatarisch
Taurus	Stier
Tehran	Teheran
Telugu ; Telugu	Telugu
Tennessee	Tennessee
Thai ; Thai	Thai ; Thailändisch
Thailand	Thailand
The Hague	Den Haag
Thuringia	Thüringen
Thursday	Donnerstag
Togo	Togo
Tokyo	Tokio ; Tokyo
Tonga	Tonga
Toronto	Toronto
Tswana	Setswana
Tuesday	Dienstag
Tunisia	Tunesien
Turkey	Türkei
Turkish ; Turkish	Türkisch
Turkmenistan	Turkmenistan
UN ; United Nations	UNO ; Vereinte Nationen
Uganda ; Republic of Uganda	Uganda
Ukraine	Ukraine
Ukrainian ; Ukrainian	Ukrainisch
United Arab Emirates	Vereinigte Arabische Emirate
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Vereinigtes Königreich ; Vereinigtes Königreich Großbritannien und Nordirland ; Großbritannien
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	Vereinigte Staaten ; Vereinigte Staaten von Amerika ; USA
Uranus	Uranus
Urdu ; Urdu	Urdu
Utah	Utah
Vaduz	Vaduz
Vatican City ; The Holy See ; State of the Vatican City	Vatikanstadt ; Vatikan
Venezuela	Venezuela
Venice	Venedig
Venus	Venus
Vienna	Wien
Vietnamese ; Vietnamese	Vietnamesisch
Volapük	Volapük
Volga	Wolga
Wales	Wales
Wallis and Futuna ; Territory of the Wallis and Futuna Islands	Wallis und Futuna
Walloon ; Walloon	Wallonisch
Washington	Washington
Wednesday ; quarta-feira	Mittwoch
Welsh ; Welsh	Kymrisch ; Walisisch
Western Asia ; Southwest Asia	Westasien
Western Europe	Westeuropa
Wikipedia	Wikipedia
Wiktionary	Wikiwörterbuch ; Wiktionary
World Wide Web ; WWW	World Wide Web ; WWW
Wyoming	Wyoming
Xhosa	Xhosa
Yemen ; Republic of Yemen	Jemen
Yiddish	Jiddisch
Yugoslavia	Jugoslawien
Zambia ; Republic of Zambia	Sambia
Zanzibar	Sansibar
Zimbabwe ; Republic of Zimbabwe	Simbabwe
Zulu	Zulu
aAmplitude ; amplitude	Amplitude
aback	bestürzt
abacus	Abakus
abandoned industrial site	Altstandort ; Industriehalde ; Industriebrache
abandoned vehicle ; car wreck	abgestelltes Fahrzeug ; Autowrack ; verlassenes Fahrzeug
abasement	Erniedrigung
abbreviation	Abkürzung ; Abbreviatur ; Kürzel
abhor ; loathe ; detest	verabscheuen
abiotic environment	abiotische Umwelt
abiotic factor	abiotischer Faktor
abolitionist	Abolitionist
abortive	fehlgeschlagen
abrasive	abschleifend
abridge	kürzen
abscess	Abszeß ; Abszess
absolutely	absolut
absorption	Absorption
acceleration	Beschleunigung
acceptable daily intake	ADI-Wert
acceptable risk level	zulässiges Risikoniveau
acceptance ; credence	Annahme ; Akzeptierung
access road	Zufahrtsstraße
access to administrative documents	Zugang zu Verwaltungsdokumenten
access to culture	Zugang zur Kultur
access to information	Informationsfreiheit
access to the courts	Zugang zur Rechtspflege
accident	Unfall
accident source ; cause of the accident	Unfallsursache ; Unfallursache
accidental release of organisms	unfallbedingte Freisetzung von Organismen
accordion ; squeeze box ; piano accordion	Akkordeon
account	Konto
accountancy	Buchführung
accounting	Buchführung
accounting system	Rechnungswesen
accumulator	Akku ; Akkumulator
acid	Säure
acid deposition	saure Deposition
acid rain	saurer Regen
acidification	Versauerung
acidity	Acidität
acidity degree	Säuregrad
acne	Akne
acorn	Eichel
acoustic comfort	akustisches Wohlbefinden
acoustic filter ; audio filter	Akustikfilter ; akustischer Filter
acoustic insulation	Schallisolierung
acoustic level ; sound pressure level	Geräuschpegel ; Lautstärke
acoustic property	akustische Eigenschaft ; akustische Kenngröße
acoustical quality	Akustik
acoustics	Akustik
acquisition	Erwerb
acrid	beißend
act ; deed	Ordnungswidrigkeit ; Tat ; Verbrechen ; Vergehen
actinide	Actinoid
actinium	Actinium
action group ; action committee	Bürgerinitiative ; Aktionskomitee
activated carbon	Aktivkohle
activated sludge	Belebtschlamm
active participation	aktive Beteiligung
active population	erwerbstätige Bevölkerung
activist	Aktivist
adaptation period	Anpassungsfrist
add	addieren
addition	Addition
additional packaging	Umverpackung
additive	Zusatzstoff
adequate food supply	Ernährungssicherung
adhesive	Klebstoff ; Kleber ; Leim ; Klebemittel ; Klebverbinder
adieu ; bye ; cheerio ; farewell ; good day ; goodbye	Guetn Tag ; tschüss ; tschüß ; tschüs ; auf Wiedersehen ; adieu
adjective ; describing word	Adjektiv ; Beiwort ; Eigenschaftswort
adjust	anpassen ; angleichen
administration ; direction ; management	Verwaltung ; Administration
administrative body ; administrative organ	Verwaltungsbehörde ; Verwaltungsorgan
administrative boundary	Verwaltungsgrenze
administrative competence ; administrative ability	Verwaltungskompetenz
administrative deed	Verwaltungsakt
administrative fiat	Verwaltungszwang
administrative instructions	Verwaltungsvorschrift
administrative law	Verwaltungsrecht
administrative occupation	Verwaltungsberuf
administrative organisation	Verwaltungsorganisation
administrative procedure	Verwaltungsvorgang
administrative sanction	Verwaltungsgenehmigung
adoption	Adoption ; Übernahme
adsorption	Adsorption
adult	Erwachsene ; Erwachsener
adult education	Erwachsenenbildung
advance	Vorschuss
adventure	Abenteuer
adverb	Adverb ; Umstandswort ; Nebenwort
advertisement ; promotion	Werbung
advice	Gutachten
aeration	Belüftung
aerial	Antenne
aerial photograph	Luftbild
aerial photography	Luftbildfotographie ; Luftbildfotografie
aerobic process	aerober Prozess
aerobic treatment	aerobe Behandlung
aerobiology	Aerobiologie
aerodynamic noise	aerodynamisches Geräusch
aeroplane ; bird ; plane	Flugzeug
aerosol	Aerosol
aesthetics	Ästhetik
afforestation ; tree planting ; afforestment	Aufforstung
afterburning ; afterburning ; afterburner	Nachverbrennung
age	Lebensalter ; Alter
aggressive	aggressiv ; angriffslustig ; kampfbegierig ; kampfeslustig ; kampfesfreudig ; kämpferisch
aggressor ; assailant ; attacker ; assaulter	Angreifer
agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia	Agoraphobie ; Agoraphobie
agreement	Übereinkommen
agreement	Verwaltungsabkommen
agreement	Vertrag
agri-foodstuff	Landwirtschafts- und Ernährungssektor
agricultural biotechnology	Agrarbiotechnologie
agricultural building	Wirtschaftsgebäude
agricultural disaster	Agrarkatastrophe
agricultural ecology ; agroecology	Agrarökologie ; Landwirtschaftsökologie
agricultural economics	Agrarökonomie
agricultural effluent	landwirtschaftliches Abwasser
